run_id,status,error,duration_ms,spike_threshold,position_size,stop_loss_points,max_hold_ticks,total_pnl,total_return,final_equity,trade_count,win_rate,avg_trade_pnl,max_drawdown,sharpe,fill_attempts,fill_rejections,partial_fill_count,requested_contracts,filled_contracts
run-0069,ok,,128,3.000000,2,3.000000,150,-104.200000,-0.010420,9895.800000,18,0.111111,-5.788889,0.018721,-0.002252,263,215,1,425,72
run-0070,ok,,107,3.000000,2,4.500000,50,-240.200000,-0.024020,9759.800000,18,0.111111,-13.344444,0.024700,-0.005202,298,249,3,463,72
run-0071,ok,,128,3.000000,2,4.500000,100,-251.200000,-0.025120,9748.800000,18,0.111111,-13.955556,0.025800,-0.005442,263,215,1,416,72
run-0072,ok,,128,3.000000,2,4.500000,150,-251.200000,-0.025120,9748.800000,18,0.111111,-13.955556,0.025800,-0.005442,263,215,1,416,72
run-0073,ok,,128,3.000000,4,1.500000,50,-49.400000,-0.004940,9950.600000,19,0.105263,-2.600000,0.022103,-0.000595,206,161,8,661,124
run-0074,ok,,124,3.000000,4,1.500000,100,-49.400000,-0.004940,9950.600000,19,0.105263,-2.600000,0.022103,-0.000595,206,161,8,661,124
run-0075,ok,,125,3.000000,4,1.500000,150,-49.400000,-0.004940,9950.600000,19,0.105263,-2.600000,0.022103,-0.000595,206,161,8,661,124
run-0076,ok,,127,3.000000,4,3.000000,50,-295.800000,-0.029580,9704.200000,17,0.176471,-17.400000,0.030000,-0.004172,327,273,15,853,108
run-0077,ok,,128,3.000000,4,3.000000,100,-321.800000,-0.032180,9678.200000,17,0.117647,-18.929412,0.032600,-0.004555,314,260,14,794,108
run-0078,ok,,119,3.000000,4,3.000000,150,-321.800000,-0.032180,9678.200000,17,0.117647,-18.929412,0.032600,-0.004555,314,260,14,794,108
run-0079,ok,,127,3.000000,4,4.500000,50,-440.800000,-0.044080,9559.200000,17,0.176471,-25.929412,0.044500,-0.006027,336,280,17,847,108
run-0080,ok,,127,3.000000,4,4.500000,100,-474.800000,-0.047480,9525.200000,17,0.117647,-27.929412,0.047900,-0.006501,313,258,15,761,108
run-0081,ok,,126,3.000000,4,4.500000,150,-474.800000,-0.047480,9525.200000,17,0.117647,-27.929412,0.047900,-0.006501,313,258,15,761,108
run-0082,ok,,128,3.500000,1,1.500000,50,14.400000,0.001440,10014.400000,18,0.111111,0.800000,0.005796,0.000973,128,92,0,128,36
run-0083,ok,,125,3.500000,1,1.500000,100,14.400000,0.001440,10014.400000,18,0.111111,0.800000,0.005796,0.000973,128,92,0,128,36
run-0084,ok,,127,3.500000,1,1.500000,150,14.400000,0.001440,10014.400000,18,0.111111,0.800000,0.005796,0.000973,128,92,0,128,36
run-0085,ok,,128,3.500000,1,3.000000,50,-39.200000,-0.003920,9960.800000,16,0.125000,-2.450000,0.009556,-0.002149,158,126,0,158,32
run-0086,ok,,94,3.500000,1,3.000000,100,-39.200000,-0.003920,9960.800000,16,0.125000,-2.450000,0.009556,-0.002149,155,123,0,155,32
run-0087,ok,,127,3.500000,1,3.000000,150,-39.200000,-0.003920,9960.800000,16,0.125000,-2.450000,0.009556,-0.002149,155,123,0,155,32
run-0088,ok,,128,3.500000,1,4.500000,50,-67.200000,-0.006720,9932.800000,16,0.125000,-4.200000,0.009556,-0.003687,155,123,0,155,32
run-0089,ok,,127,3.500000,1,4.500000,100,-69.200000,-0.006920,9930.800000,16,0.125000,-4.325000,0.009755,-0.003797,148,116,0,148,32
run-0090,ok,,91,3.500000,1,4.500000,150,-69.200000,-0.006920,9930.800000,16,0.125000,-4.325000,0.009755,-0.003797,148,116,0,148,32
run-0091,ok,,127,3.500000,2,1.500000,50,35.200000,0.003520,10035.200000,17,0.117647,2.070588,0.011543,0.001238,148,109,0,249,68
run-0092,ok,,128,3.500000,2,1.500000,100,35.200000,0.003520,10035.200000,17,0.117647,2.070588,0.011543,0.001238,148,109,0,249,68
run-0093,ok,,90,3.500000,2,1.500000,150,35.200000,0.003520,10035.200000,17,0.117647,2.070588,0.011543,0.001238,148,109,0,249,68
run-0094,ok,,126,3.500000,2,3.000000,50,-81.000000,-0.008100,9919.000000,15,0.133333,-5.400000,0.018639,-0.001915,219,179,2,327,60
run-0095,ok,,92,3.500000,2,3.000000,100,-88.000000,-0.008800,9912.000000,15,0.133333,-5.866667,0.018652,-0.002092,193,153,1,294,60
run-0096,ok,,125,3.500000,2,3.000000,150,-88.000000,-0.008800,9912.000000,15,0.133333,-5.866667,0.018652,-0.002092,193,153,1,294,60
run-0097,ok,,125,3.500000,2,4.500000,50,-166.000000,-0.016600,9834.000000,15,0.133333,-11.066667,0.021819,-0.004015,230,189,3,335,60
run-0098,ok,,125,3.500000,2,4.500000,100,-177.000000,-0.017700,9823.000000,15,0.133333,-11.800000,0.022232,-0.004285,196,156,1,290,60
run-0099,ok,,91,3.500000,2,4.500000,150,-177.000000,-0.017700,9823.000000,15,0.133333,-11.800000,0.022232,-0.004285,196,156,1,290,60
run-0100,ok,,126,3.500000,4,1.500000,50,-16.400000,-0.001640,9983.600000,16,0.125000,-1.025000,0.022068,-0.000016,148,110,7,441,104
run-0101,ok,,126,3.500000,4,1.500000,100,-16.400000,-0.001640,9983.600000,16,0.125000,-1.025000,0.022068,-0.000016,148,110,7,441,104
run-0102,ok,,93,3.500000,4,1.500000,150,-16.400000,-0.001640,9983.600000,16,0.125000,-1.025000,0.022068,-0.000016,148,110,7,441,104
run-0103,ok,,126,3.500000,4,3.000000,50,-275.800000,-0.027580,9724.200000,14,0.142857,-19.700000,0.028000,-0.004668,251,207,13,589,88
run-0104,ok,,124,3.500000,4,3.000000,100,-288.800000,-0.028880,9711.200000,14,0.142857,-20.628571,0.029300,-0.004885,237,193,12,538,88
run-0105,ok,,125,3.500000,4,3.000000,150,-288.800000,-0.028880,9711.200000,14,0.142857,-20.628571,0.029300,-0.004885,237,193,12,538,88
run-0106,ok,,91,3.500000,4,4.500000,50,-304.800000,-0.030480,9695.200000,14,0.142857,-21.771429,0.030900,-0.005149,260,215,14,589,88
run-0107,ok,,137,3.500000,4,4.500000,100,-325.800000,-0.032580,9674.200000,14,0.142857,-23.271429,0.033000,-0.005500,238,194,12,513,88
run-0108,ok,,89,3.500000,4,4.500000,150,-325.800000,-0.032580,9674.200000,14,0.142857,-23.271429,0.033000,-0.005500,238,194,12,513,88
