run_id,status,error,duration_ms,spike_threshold,position_size,stop_loss_points,max_hold_ticks,total_pnl,total_return,final_equity,trade_count,win_rate,avg_trade_pnl,max_drawdown,sharpe,fill_attempts,fill_rejections,partial_fill_count,requested_contracts,filled_contracts
run-0095,ok,,94,3.500000,2,3.000000,100,-43.000000,-0.004300,9957.000000,17,0.235294,-2.529412,0.007509,-0.003194,315,273,4,295,60
run-0096,ok,,99,3.500000,2,3.000000,150,-43.000000,-0.004300,9957.000000,17,0.235294,-2.529412,0.007509,-0.003194,315,273,4,295,60
run-0097,ok,,131,3.500000,2,4.500000,50,-12.000000,-0.001200,9988.000000,17,0.294118,-0.705882,0.007309,-0.000776,315,273,4,293,60
run-0098,ok,,101,3.500000,2,4.500000,100,-14.000000,-0.001400,9986.000000,17,0.294118,-0.823529,0.007509,-0.000916,354,312,4,371,60
run-0099,ok,,133,3.500000,2,4.500000,150,-14.000000,-0.001400,9986.000000,17,0.294118,-0.823529,0.007509,-0.000916,305,263,4,273,60
run-0100,ok,,109,3.500000,4,1.500000,50,-111.400000,-0.011140,9888.600000,17,0.058824,-6.552941,0.011140,-0.007169,243,205,11,366,94
run-0101,ok,,131,3.500000,4,1.500000,100,-111.400000,-0.011140,9888.600000,17,0.058824,-6.552941,0.011140,-0.007169,243,205,11,366,94
run-0102,ok,,104,3.500000,4,1.500000,150,-111.400000,-0.011140,9888.600000,17,0.058824,-6.552941,0.011140,-0.007169,243,205,11,366,94
run-0103,ok,,129,3.500000,4,3.000000,50,-80.400000,-0.008040,9919.600000,17,0.235294,-4.729412,0.010655,-0.004650,336,287,11,484,94
run-0104,ok,,109,3.500000,4,3.000000,100,-80.400000,-0.008040,9919.600000,17,0.235294,-4.729412,0.010655,-0.004650,335,286,11,482,94
run-0105,ok,,120,3.500000,4,3.000000,150,-80.400000,-0.008040,9919.600000,17,0.235294,-4.729412,0.010655,-0.004650,335,286,11,482,94
run-0106,ok,,130,3.500000,4,4.500000,50,-49.400000,-0.004940,9950.600000,17,0.294118,-2.905882,0.010455,-0.002693,336,287,11,467,94
run-0107,ok,,129,3.500000,4,4.500000,100,-51.400000,-0.005140,9948.600000,17,0.294118,-3.023529,0.010655,-0.002802,374,325,11,543,94
run-0108,ok,,128,3.500000,4,4.500000,150,-51.400000,-0.005140,9948.600000,17,0.294118,-3.023529,0.010655,-0.002802,325,276,11,445,94
